AegisArtifact | refs=4
AgentApi | refs=10
AgentApiKey | refs=3
AgentBinding | refs=20
AgentConfig | refs=15
AgentDef | refs=25
AgentMemory | refs=2
AgentSubscription | refs=5
AgentWorkspaceMaterial | refs=3
AttFileMeta | refs=1
AttParseCache | refs=1
AuditLog | refs=6
BackupRecord | refs=2
Department | refs=3
DocumentProcessProgress | refs=1
HitlHistory | refs=4
HitlNode | refs=5
KbDocument | refs=8
KbDocumentChunk | refs=2
KbSubscription | refs=3
KnowledgeBase | refs=18
MaskRule | refs=3
McpService | refs=13
McpSubscription | refs=3
ModelDef | refs=6
ModelProvider | refs=7
ModelRateLimit | refs=2
OutboundPolicy | refs=2
Permission | refs=3
ResourceReview | refs=10
Role | refs=9
RolePermission | refs=1
SandboxBaseImage | refs=7
SandboxInstance | refs=15
SandboxLease | refs=1
SandboxOperationLog | refs=2
SandboxPolicy | refs=2
SandboxPool | refs=11
SensitiveWord | refs=1
Session | refs=12
SessionMessage | refs=3
